Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2489,job_6f855307b3934a16,Barclays,"Pune, Maharashtra",13 days ago,Business Analyst,India,,,,Pune,,,5.0,,postgraduate,Business Design Analyst,"['Ada', 'D', 'C', 'client', 'Go', 'R', 'Vi', 'Excel']"
2490,job_09765f8797280563,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",8 days ago,Business Analyst,India,,,,Mumbai,,,200.0,,undergraduate,Business Analysis   PATH Program,[]
2491,job_f9f38d8475658a67,Deutsche Bank,"Bengaluru, Karnataka+3 locations",12 days ago,Business Analyst,India,,,,Bengaluru,,Senior Level,8.0,,postgraduate,Business Management Analyst,"['D', 'C', 'PowerPoint', 'R', 'Tableau', 'MS Office', 'Python', 'Excel']"
2492,job_5a2d7d1f3eb96be9,EY,"Gurgaon, Haryana",13 days ago,Business Analyst,India,,,,Gurgaon,,,,,,Analyst   Business Insights,"['client', 'api']"
2493,job_19d64d164cdd1895,NatWest Group,"Gurgaon, Haryana+1 location",11 days ago,Business Analyst,India,,,,Gurgaon,,,,,,Technology Business Analyst,['R']
2494,job_5d57324925cfb212,Caret IT Solutions,"Gandhinagar, Gujarat",7 days ago,Business Analyst,India,,,,Gandhinagar,,,3.0,,,Business Analyst,['R']
2495,job_0f6f47932d9ab459,HP,"Bengaluru, Karnataka",13 days ago,Business Analyst,India,,,,Bengaluru,,,8.0,,postgraduate,Business Operations Analyst I,['R']
2496,job_f11a2fb72ae045fe,ElasticRun,"Pune, Maharashtra",7 days ago,Business Analyst,India,,,,Pune,,,,,postgraduate,Business Analyst,['R']
2497,job_eb28a8b10bc47d3e,Deloitte,"Gurgaon, Haryana",8 days ago,Business Analyst,India,,,,Gurgaon,,Senior Level,6.0,,postgraduate,Analyst / Senior Analyst / Assistant Manager   Talent Busine...,"['D', 'R', 'BA', 'Go']"
2498,job_a98be2e362c91f79,Unilever,"Bengaluru, Karnataka",11 days ago,Business Analyst,India,,,,Bengaluru,,,2.0,,postgraduate,Platform Business Analyst Demand Capture,"['D', 'C', 'R', 'Leadership', 'go-getter attitude', 'BA', 'Excel']"
2499,job_71f81cae1e8738e5,HSBC,"Bengaluru, Karnataka",7 days ago,Business Analyst,India,,,,Bengaluru,,Senior Level,,,hs,Senior Business Analyst GSC'S,"['D', 'http', 'C', 'Go']"
